"Select all keywords","Keyword","Intent","Relevance","Related %","Volume","Trend","Pot. Traffic","PKD %","KD %","CPC (USD)","Com.","SF","Results","Updated"
"online shopping in pakistan","online shopping in pakistan​","I C","n/a","0","18.1K","","n/a","n/a","37","0.10","0.50","4","187","1 month"
"daraz online shopping in pakistan","daraz online shopping in pakistan​","N","n/a","0","2.4K","","n/a","n/a","48","0.06","0.10","5","n/a","1 month"
"online shopping in pakistan with free home delivery","online shopping in pakistan with free home delivery​","I","n/a","0","1.6K","","n/a","n/a","51","0.08","0.40","4","192","1 month"
"girl dresses online shopping in pakistan","girl dresses online shopping in pakistan​","I","n/a","0","1.3K","","n/a","n/a","14","0.04","0.70","5","190","1 month"
"best online shopping website in pakistan","best online shopping website in pakistan​","C","n/a","0","1.0K","","n/a","n/a","44","0.09","0.53","6","115","1 month"
"online mobile shopping in pakistan","online mobile shopping in pakistan​","C","n/a","0","1.0K","","n/a","n/a","49","0.03","0.42","3","199","1 month"
"online shopping apps in pakistan","online shopping apps in pakistan​","I","n/a","0","1.0K","","n/a","n/a","19","0.11","0.46","4","197","1 month"
"baby online shopping in pakistan","baby online shopping in pakistan​","I","n/a","0","880","","n/a","n/a","49","0.06","0.65","2","172","1 month"
"online baby clothes shopping in pakistan","online baby clothes shopping in pakistan​","C","n/a","0","880","","n/a","n/a","45","0.04","0.65","2","181","1 month"
"bed sheets online shopping in pakistan","bed sheets online shopping in pakistan​","I","n/a","0","720","","n/a","n/a","42","0.10","0.68","4","183","1 month"
"online abaya shopping in pakistan","online abaya shopping in pakistan​","I C","n/a","0","720","","n/a","n/a","37","0.02","0.40","2","132","1 month"
"best online shopping in pakistan","best online shopping in pakistan​","C","n/a","0","590","","n/a","n/a","48","0.16","0.34","4","178","1 month"
"best online shopping store in pakistan","best online shopping store in pakistan​","C","n/a","0","590","","n/a","n/a","54","0.10","0.29","4","174","1 month"
"dubai abaya online shopping in pakistan","dubai abaya online shopping in pakistan​","I","n/a","0","590","","n/a","n/a","6","0.02","0.27","4","195","1 month"
"girl shoes online shopping in pakistan","girl shoes online shopping in pakistan​","C","n/a","0","590","","n/a","n/a","9","0.06","0.73","2","154","1 month"
"online artificial jewellery shopping in pakistan","online artificial jewellery shopping in pakistan​","I","n/a","0","590","","n/a","n/a","45","0.03","0.29","3","189","1 month"
"baby boy clothes online shopping in pakistan","baby boy clothes online shopping in pakistan​","I","n/a","0","480","","n/a","n/a","40","0.05","0.63","4","198","1 month"
"baby girl frocks online shopping in pakistan","baby girl frocks online shopping in pakistan​","I","n/a","0","480","","n/a","n/a","9","0.06","0.75","3","164","1 month"
"online shopping stores in pakistan","online shopping stores in pakistan​","C","n/a","0","480","","n/a","n/a","46","0.08","0.33","3","192","1 month"
"top 10 online shopping sites in pakistan","top 10 online shopping sites in pakistan​","C","n/a","0","480","","n/a","n/a","22","0.11","0.23","4","118","1 month"
"online shopping shoes in pakistan","online shopping shoes in pakistan​","C","n/a","0","390","","n/a","n/a","59","0.05","0.38","2","199","1 month"
"online shopping sites in pakistan","online shopping sites in pakistan​","I C","n/a","0","390","","n/a","n/a","54","0.08","0.41","3","180","1 month"
"best online shopping app in pakistan","best online shopping app in pakistan​","C","n/a","0","320","","n/a","n/a","18","0.13","0.52","5","104","1 month"
"kids online shopping in pakistan","kids online shopping in pakistan​","I","n/a","0","320","","n/a","n/a","52","0.05","0.56","4","199","1 month"
"online bra shopping in pakistan","online bra shopping in pakistan​","C","n/a","0","320","","n/a","n/a","11","0.05","0.60","2","195","1 month"
"online dress shopping in pakistan with price","online dress shopping in pakistan with price​","C","n/a","0","320","","n/a","n/a","50","0.02","0.32","4","197","1 month"
