"Keyword","Intent","Position","SF","Traffic","Traffic %","Volume","KD %","URL","Updated"
"","daraz seller center","N","1","5","48.4K","0.56","60.5K","44","www.daraz.pk/sell-on-daraz/","Aug 13"
"","daraz seller account","N T","1","4","9.7K","0.11","12.1K","40","www.daraz.pk/sell-on-daraz/","Aug 12"
"","pumpkin seeds","I T","","8","5.3K","0.06","40.5K","49","www.daraz.pk/tag/pumpkin-seeds-price/","Aug 13"
"","redmi note 13 price in pakistan","C","","6","4.5K","0.05","40.5K","30","www.daraz.pk/tag/xiaomi-redmi-note-13/","Aug 11"
"","daraz seller app","I","2","5","4.3K","0.05","33.1K","33","www.daraz.pk/sell-on-daraz/","Aug 11"
"","oppo a5x price in pakistan","T","","4","3.7K","0.04","33.1K","31","www.daraz.pk/tag/oppo-a5x-mobile/","Aug 12"
"","samsung a16 price in pakistan 8gb 256gb","I","","5","3.7K","0.04","33.1K","37","www.daraz.pk/tag/samsung-a16-8-256-gb/","Aug 10"
"","techno camon","I","","4","3.5K","0.04","22.2K","31","www.daraz.pk/products/tecno-camon-40-pro-8gb-ram-256gb-rom-144hz-display-i890833419.html","Aug 11"
"","scooty price in pakistan","C","1","6","2.9K","0.03","22.2K","30","www.daraz.pk/tag/scooty-bike-price/","Aug 12"
"","scooty price in pakistan","C","","6","2.6K","0.03","22.2K","30","www.daraz.pk/tag/electric-scooty-lahore/","Aug 12"
"","samsung a05","I","6","3","2.5K","0.02","49.5K","31","www.daraz.pk/tag/samsung-galaxy-a05-128gb/","Aug 12"
"","infinix new model","I","2","5","2.4K","0.02","27.1K","41","www.daraz.pk/tag/infinix-new-model-mobile-phone/","Aug 12"
"","xnxx school","C I","3","1","2.4K","0.02","27.1K","32","www.daraz.pk/tag/xnxx-school/","Aug 12"
"","air fryer","I","2","6","2.4K","0.02","18.1K","44","www.daraz.pk/tag/airfryer/","2 days"
"","nokia 1100","I","1","6","2.4K","0.02","18.1K","44","www.daraz.pk/tag/nokia-1100-price/","Aug 10"
"","realme c53","I","7","5","2.2K","0.02","74K","30","www.daraz.pk/tag/mobile-phone-realme-c53/","Aug 11"
"","nokia 1100","I","","6","2.1K","0.02","18.1K","44","www.daraz.pk/tag/nokia-1100-price/","Aug 10"
"","pumpkin seeds","I T","1","8","2K","0.02","40.5K","49","www.daraz.pk/tag/pumpkin-seeds-price/","Aug 13"
"","iphone 7 plus","C I","","4","1.8K","0.02","27.1K","37","www.daraz.pk/tag/mobile-iphone-7plus/","Aug 12"
"","girls shirt design","I T","","6","1.7K","0.02","22.2K","31","www.daraz.pk/products/new-elegent-collar-casual-wear-open-designed-shirt-for-girlswomen-i484950022.html","Aug 12"
"","girls shirt design","I T","","6","1.7K","0.02","22.2K","31","www.daraz.pk/products/elegant-ethnic-sophisticated-kurta-and-shirts-design-for-girls-i395934450.html","Aug 12"
"","vivo v23","I","","6","1.7K","0.02","14.8K","37","www.daraz.pk/tag/vivo-v23/","Aug 12"
"","redmi note 11 price in pakistan","T","","6","1.7K","0.01","14.8K","30","www.daraz.pk/tag/xiaomi-redmi-note-11/","Aug 11"
"","xxxxl mouse pad","I","5","4","1.7K","0.01","33.1K","32","www.daraz.pk/tag/xxxxl-mouse-pad/","Aug 11"
"","ps5","C I","2","8","1.6K","0.01","18.1K","44","www.daraz.pk/tag/ps5-price/","Aug 11"
"","peanut butter","I","","7","1.6K","0.01","12.1K","37","www.daraz.pk/tag/peanut-butter/","Aug 11"
"","deodorant","I","1","6","1.6K","0.01","12.1K","44","www.daraz.pk/deodorants/","Aug 12"
"","s9","I","9","2","1.5K","0.01","49.5K","36","www.daraz.pk/tag/samsung-galaxy-s9-pta-approved/","Aug 13"
"","solar panel price in pakistan","T","6","6","1.5K","0.01","49.5K","30","www.daraz.pk/tag/solar-panel-price/","Aug 12"
"","nimra ahmad novels","I","","7","1.4K","0.01","12.1K","32","www.daraz.pk/tag/urdu-novels-nimra-ahmad/","3 days"
"","nimra ahmed novels","I","","5","1.4K","0.01","12.1K","34","www.daraz.pk/tag/urdu-novels-nimra-ahmad/","2 days"
"","deodorant","I","","6","1.4K","0.01","12.1K","44","www.daraz.pk/deodorants/","Aug 12"
"","tecno spark 40 pro plus","I","","5","1.4K","0.01","60.5K","33","www.daraz.pk/tag/tecno-spark-pro-plus/","Aug 12"
"","fingerprint lock","I T","3","5","1.3K","0.01","14.8K","40","www.daraz.pk/tag/fingerprint-door-locks/","Aug 10"
"","samsung s25 ultra price in pakistan","T","","3","1.2K","0.01","74K","32","www.daraz.pk/tag/samsung-s25-ultra/","Aug 11"
"","iphone xs max","I","6","6","1.2K","0.01","40.5K","34","www.daraz.pk/tag/xs-max-256gb-price/","Aug 12"
"","vivo y04 price in pakistan 6 128","T","","5","1.2K","0.01","27.1K","31","www.daraz.pk/tag/vivo-y04-128gb/","Aug 13"
"","tv","I","","4","1.2K","0.01","18.1K","46","www.daraz.pk/televisions/","Aug 12"
"","motorola","C I","5","7","1.1K","0.01","22.2K","38","www.daraz.pk/tag/motorola-phones/","Aug 12"
"","cap","I","5","6","1.1K","0.01","22.2K","40","www.daraz.pk/men-accessories-hats/","Aug 12"
"","nintendo switch","N","","6","1.1K","0.01","49.5K","33","www.daraz.pk/tag/nintendo-switch/","1 day"
"","daraz seller center","N","3","5","1.1K","0.01","60.5K","44","sellercenter.daraz.pk/apps/register/lazmall_m?hybrid=1&defaultValues={""isLazMallSeller""%3Atrue}","Aug 13"
"","olive oil","I","","6","1.1K","0.01","12.1K","40","www.daraz.pk/tag/olive-oil-price/","22 hours"
"","lama retail","N","2","5","1.1K","0.01","60.5K","45","www.daraz.pk/tag/lama-retail-store/","Aug 12"
"","bikini","I","2","7","1.1K","0.01","12.1K","37","www.daraz.pk/womens-bikinis/","Aug 11"
"","iphone 7 plus","C I","6","4","1.1K","0.01","27.1K","37","www.daraz.pk/tag/mobile-iphone-7plus/","Aug 12"
"","calendar 2026","I","8","5","993","0.01","33.1K","35","www.daraz.pk/tag/calendar-2026/","4 days"
"","12","C","4","5","993","0.01","33.1K","40","www.daraz.pk/tag/12-i-phone/","Aug 12"
"","daraz seller app","I","8","5","993","0.01","33.1K","33","pages.daraz.pk/wow/i/pk/help-pages/sell-on-daraz/?hybrid=1","Aug 11"
"","kurta design for girls","I","","7","947","0.01","12.1K","30","www.daraz.pk/products/2-piece-linen-traditional-kurta-pajama-for-womengirls-casual-and-comfortable-available-in-multiple-sizes-i469357312.html","3 days"
"","kurta design for girls","I","","7","947","0.01","12.1K","30","www.daraz.pk/products/stylish-collection-embroided-kurta-for-women-and-young-girls-fabric-winter-cotton-i435986529.html","3 days"
"","frock design","I","","8","947","0.01","12.1K","34","www.daraz.pk/products/stylish-long-frock-for-women-with-fancy-flair-3-piece-party-wear-frocks-for-women-i436148210.html","Aug 12"
"","badminton","I","3","7","905","0.01","18.1K","44","www.daraz.pk/badminton/","Aug 13"
"","free fire top up pakistan","C","3","4","891","0.01","49.5K","31","www.daraz.pk/tag/garena-topup-free-fire/","Aug 11"
"","tasbeeh counter","C","4","4","847","< 0.01","12.1K","34","www.daraz.pk/tag/counter-new-style-for/","3 days"
"","matcha","I T","2","9","847","< 0.01","12.1K","42","www.daraz.pk/tag/matcha-green-tea-price/","4 days"
"","tecno camon 50 pro","I","","6","824","< 0.01","49.5K","32","www.daraz.pk/tag/tecno-camon-50-pro-mobile/","2 days"
"","tecno camon 50 pro","I","","6","824","< 0.01","49.5K","32","www.daraz.pk/tag/tecno-camon-50-pro-mobile/","2 days"
"","peer e kamil","I T","5","6","813","< 0.01","27.1K","33","www.daraz.pk/tag/peere-kamil-book/","Aug 12"
"","gala design","I","4","6","813","< 0.01","27.1K","30","www.daraz.pk/tag/gala-designs/","Aug 12"
"","g9","I","","7","796","< 0.01","12.1K","33","www.daraz.pk/tag/led-g9/","3 days"
"","redmi note 13","I","10","4","786","< 0.01","60.5K","32","www.daraz.pk/tag/xiaomi-redmi-note-13/","Aug 12"
"","bike puncture shop","C","1","7","740","< 0.01","14.8K","30","www.daraz.pk/tag/tyre-puncture-repair/","Aug 11"
"","infinix new model 2025","I","5","7","740","< 0.01","14.8K","38","www.daraz.pk/tag/infinix-new-model-2025-mobile/","Aug 10"
"","borjan shoes","N T","5","5","740","< 0.01","74K","36","www.daraz.pk/tag/borjan-sale-shoes/","Aug 13"
"","jafferjees","N T","2","5","729","< 0.01","40.5K","38","www.daraz.pk/tag/jafferjees/","Aug 13"
"","bata shoes","N","5","5","724","< 0.01","90.5K","48","www.daraz.pk/mens-shoes/bata/","19 hours"
"","nintendo switch","N","3","6","693","< 0.01","49.5K","33","www.daraz.pk/tag/nintendo-switch/","1 day"
"","best blender for smoothies","C","6","7","677","< 0.01","27.1K","46","www.daraz.pk/tag/smoothie-blenders/","Aug 12"
"","hot 60 pro","I","","6","674","< 0.01","40.5K","41","www.daraz.pk/products/infinix-hot-60-pro-8gb-ram-128gb-rom-678-amoled-display-144hz-li-lon-5160-mah-45w-mediatek-helio-g200-i911514921.html","Aug 12"
"","girls shirt design","I T","3","6","666","< 0.01","22.2K","31","www.daraz.pk/tag/latest-shirt-designs-for-girls/","Aug 12"
"","iphone 12","I","6","7","666","< 0.01","74K","36","www.daraz.pk/tag/iphone-12-pro/","Aug 13"
"","iphone 8 plus","I","5","6","666","< 0.01","22.2K","33","www.daraz.pk/tag/iphone-8plus-non-pta/","Aug 12"
"","iphone 11 pro","C I","7","6","666","< 0.01","22.2K","32","www.daraz.pk/tag/iphone-11-pro-2nd-hand/","Aug 11"
"","iphone 12 pro max","C I","8","7","643","< 0.01","49.5K","43","www.daraz.pk/tag/iphone-12-pro/","Aug 12"
"","camon 20","I","","9","632","< 0.01","27.1K","33","www.daraz.pk/products/tecno-camon-20-8gb256gb-64-mp-camera-5000-mah-battery-667-i428102257.html","Aug 12"
"","daraz seller center","N","5","5","605","< 0.01","60.5K","44","www.daraz.pk/wow/i/pk/landingpage/sellers-daraz-service?hybrid=1","Aug 13"
"","servis shoes","N","5","4","605","< 0.01","60.5K","40","www.daraz.pk/tag/servis-shoes-price/","Aug 11"
"","namal novel","I","5","6","605","< 0.01","12.1K","32","www.daraz.pk/tag/novels-namal/","Aug 10"
"","iphone 10","I","3","7","605","< 0.01","12.1K","36","www.daraz.pk/tag/iphone-10-price/","Aug 10"
"","bagallery","N T","3","3","595","< 0.01","33.1K","37","www.daraz.pk/tag/bagallery-fashion/","16 hours"
"","logo shoes","N","5","9","592","< 0.01","74K","48","www.daraz.pk/tag/logo-shoes-for-men/","Aug 12"
"","soybean","I T","2","7","592","< 0.01","14.8K","42","www.daraz.pk/tag/soye-beans/","Aug 13"
"","samsung s25 ultra price in pakistan","T","6","3","592","< 0.01","74K","32","www.daraz.pk/tag/samsung-s25-ultra/","Aug 11"
"","alkaram studio","N","7","5","592","< 0.01","74K","33","www.daraz.pk/tag/alkaram-studio-stitched/","Aug 13"
"","haier ac","C","","3","580","< 0.01","14.8K","34","www.daraz.pk/tag/haier-ac-inverter/","Aug 13"
"","almas shoes","N T","2","5","577","< 0.01","22.2K","32","www.daraz.pk/tag/almas-women-shoes/","Aug 13"
"","monark","N","2","6","577","< 0.01","22.2K","40","www.daraz.pk/tag/monark-clothing/","Aug 12"
"","iphone xs","I","9","5","555","< 0.01","22.2K","48","www.daraz.pk/tag/iphone-xs-64gb-pta-approved/","Aug 12"
"","14","I","6","7","555","< 0.01","22.2K","31","www.daraz.pk/tag/iphone-14-phone/","Aug 12"
"","samsung a56 price in pakistan","C","9","2","543","< 0.01","90.5K","37","www.daraz.pk/tag/samsung-galaxy-a56-price/","Aug 11"
"","pak wheel","N","9","4","543","< 0.01","90.5K","36","www.daraz.pk/tag/pakwheelsall/","Aug 12"
"","motorcycle","C","6","8","543","< 0.01","18.1K","43","www.daraz.pk/tag/motorcycle-bike/","Aug 12"
"","tenda","N","6","4","543","< 0.01","90.5K","31","www.daraz.pk/tag/tenda-router/","Aug 12"
"","insignia shoes","C N","5","7","495","< 0.01","49.5K","40","www.daraz.pk/tag/insignia-shoes-for-men/","Aug 12"
"","molty foam","C N","5","4","495","< 0.01","49.5K","41","www.daraz.pk/tag/master-molty-foam-mattress/","Aug 12"
"","generation pk","N T","6","5","495","< 0.01","49.5K","32","www.daraz.pk/tag/generation-clothing-brand/","Aug 13"
"","garena topup pk","C N","3","4","487","< 0.01","27.1K","31","www.daraz.pk/tag/garena-topup-pk/","Aug 10"
"","olive oil","I","3","6","484","< 0.01","12.1K","40","www.daraz.pk/tag/olive-oil-price/","22 hours"
"","clive shoes","N","6","5","484","< 0.01","60.5K","36","www.daraz.pk/tag/clive-shoes/","Aug 12"
