# ASM VEO Editable Product Control Sheet — TAB-separated; opens in Excel/Google Sheets
# CSV SHA256: c279277a0619b4270c94324b669b233cd4e5e4cec40d10215062e7a82c4b77b0
# Edit Product Name, Description, Main Price, Discount Price and Stock. Do not edit Product ID/Slug.
Product Name	Description	Main Price	Discount Price	Stock	Product ID	Slug
( 2 in 1 ) stack- up shelf and  disposible food bag   (100 pieces) (random color)		1302	1302	In Stock	hhc-2701529	2-in-1-stack-up-shelf-and-disposible-food-bag-100-pieces-random-color-hhc-2701529
( 2 Piece ) Girls Cross-Body Bag | Best Quality Shoulder Bag For Girls | Best Quality Bag For Women | PU Leather Cross-Body Bag		1064	1064	In Stock	hhc-2605079	2-piece-girls-cross-body-bag-best-quality-shoulder-bag-for-girls-best-q-6949c4de-hhc-2605079
( 5 in 1 ) Data Cable Set All Solutions in One | Data Cable Set 60w Fast Charging - Random Color		530	530	In Stock	hhc-3039817	5-in-1-data-cable-set-all-solutions-in-one-data-cable-set-60w-fast-char-ffd2e049-hhc-3039817
( 8.5 / 10inch ) - LCD Writing Drawing Tablet | Kids Learning Table - Multi color  (Random color)		460	460	In Stock	hhc-1937237	8-5-10inch-lcd-writing-drawing-tablet-kids-learning-table-multi-color-r-063f21a9-hhc-1937237
( Golden ) Rolex Stylish Watch for Men Adjustable Rubber Strap | Heavy Master Lock | Steel Buzzle Working - Without Box		2867	2867	In Stock	hhc-2575963	golden-rolex-stylish-watch-for-men-adjustable-rubber-strap-heavy-master-626b6cee-hhc-2575963
( Pack of 12 )2 in 1 colors eye pencil multipurpose  Eye Pencil (Random color )		1008	1008	In Stock	hhc-2543880	pack-of-12-2-in-1-colors-eye-pencil-multipurpose-eye-pencil-random-color-hhc-2543880
( Pack of 2 ) Waterproof Mascara &amp; Liner Deal,		600	600	In Stock	hhc-1932845	pack-of-2-waterproof-mascara-amp-liner-deal-hhc-1932845
( pack of 4 )Strong Adhesive Seamless Wall Hook Nail Screw Rod Seamless Screw Sticker		222	222	In Stock	hhc-1883550	pack-of-4-strong-adhesive-seamless-wall-hook-nail-screw-rod-seamless-sc-3f39684e-hhc-1883550
( Pack Of 4) Flower Transparent Liquid Lip Oil 5ml		1021	1021	In Stock	hhc-2319505	pack-of-4-flower-transparent-liquid-lip-oil-5ml-hhc-2319505
( Pack of 6  )2 in 1 colors eye pencil multipurpose Eye Pencil (Random color)		600	600	In Stock	hhc-2543845	pack-of-6-2-in-1-colors-eye-pencil-multipurpose-eye-pencil-random-color-hhc-2543845
( Pack Of 6 ) Daisy Rose High Pigment Lipgloss		839	839	In Stock	hhc-2319492	pack-of-6-daisy-rose-high-pigment-lipgloss-hhc-2319492
( Pack Of 6 ) Daisy Rose Nude Lipgloss		865	865	In Stock	hhc-1992267	pack-of-6-daisy-rose-nude-lipgloss-hhc-1992267
( Pack of 6) Crazy Girl 24 Hours High Pigment Lipgloss,		1123	1123	In Stock	hhc-2052410	pack-of-6-crazy-girl-24-hours-high-pigment-lipgloss-hhc-2052410
( pair ) New Women Men Warm Cashmere Wool Knee Warmers Leg Thigh High		528	528	In Stock	hhc-2236811	pair-new-women-men-warm-cashmere-wool-knee-warmers-leg-thigh-high-hhc-2236811
( Pair ) Unisex Women Men’s Cashmere Wool Knee Brace Pads | Winter Warm Thermal Knee Warmers Velvet Knee Protector (random color)		881	881	In Stock	hhc-2498498	pair-unisex-women-men-s-cashmere-wool-knee-brace-pads-winter-warm-therm-5b265ebc-hhc-2498498
(1 Pair) Moisturizing Glove Set, Silicone Gel Spa Gloves For Dry Cracked Skin		713	713	In Stock	hhc-2499269	1-pair-moisturizing-glove-set-silicone-gel-spa-gloves-for-dry-cracked-skin-hhc-2499269
(1 Pair) Moisturizing Glove Socks Set, Silicone Gel Spa Socks For Dry Cracked Skin		573	573	In Stock	hhc-2303508	1-pair-moisturizing-glove-socks-set-silicone-gel-spa-socks-for-dry-cracked-skin-hhc-2303508
(1 Pair) Unisex Cashmere Wool Knee Warmers | Winter Thermal Velvet Knee Pads for Men & Women – Soft, Warm & Comfortable Support randome colour		752	752	In Stock	hhc-3753353	1-pair-unisex-cashmere-wool-knee-warmers-winter-thermal-velvet-knee-pad-7aa45355-hhc-3753353
(1 pcs ) Multipurpose Wire Dishwashing Gloves | Dishwashing Rags for Wet and Dry, Steel Wire Miracle Cleaning Cloth with Glove Shape, Non-Scratch Wire Dish Cloths for Washing Dishes, Kitchen | Anti-heat aluminium gloves		224	224	In Stock	hhc-3246030	1-pcs-multipurpose-wire-dishwashing-gloves-dishwashing-rags-for-wet-and-0e27b0e9-hhc-3246030
(1 PCs )Squid Game Usb Reading Table Lamp(red color)		881	881	In Stock	hhc-2188597	1-pcs-squid-game-usb-reading-table-lamp-red-color-hhc-2188597
(1 pcs)Soft Mesh Bath Sponge – Exfoliating Body Scrubber Random color - Extra Soft Body Loofah Bath Sponge – Gentle Exfoliating Shower Pouf for Radiant, Smooth Skin – Mesh Shower Scrubber for Men &amp; Women - Random Color		249	249	In Stock	hhc-3535534	1-pcs-soft-mesh-bath-sponge-exfoliating-body-scrubber-random-color-extr-41aca3e0-hhc-3535534
(1 piece) Multi-Purpose Hook Four-Claw Rotatable Coat Hooks Hanging Powerful Storage Rack House Kitchen Pot Pan Hanger Scarf Hanger (random color)		263	263	In Stock	hhc-2587372	1-piece-multi-purpose-hook-four-claw-rotatable-coat-hooks-hanging-power-ac00c1d4-hhc-2587372
(1.4 L) - Oil Storage and Filtration Stainless Steel with Lid | Oil Filter Pot with Handle for Kitchen (Box Packing)		1673	1673	In Stock	hhc-2025547	1-4-l-oil-storage-and-filtration-stainless-steel-with-lid-oil-filter-po-6ed272e9-hhc-2025547
(10 inch big size ) 3 In 1 Air Humidifier Cooling Usb Fan Led Night Light Water Mist Fun Humidification Fan Spray Electric Fan ( random color)		2474	2474	In Stock	hhc-1720658	10-inch-big-size-3-in-1-air-humidifier-cooling-usb-fan-led-night-light-8f5d56cc-hhc-1720658
(10 Lipglosses) Dragon Ranee Lipglosses Korean Lip Gloss		1533	1533	In Stock	hhc-2208963	10-lipglosses-dragon-ranee-lipglosses-korean-lip-gloss-hhc-2208963
(10 Pcs) Multipurpose Salon Hair Styling Hairdressing hairdresser Barber Combs Professional Comb Kit		487	487	In Stock	hhc-1997686	10-pcs-multipurpose-salon-hair-styling-hairdressing-hairdresser-barber-0e0c5585-hhc-1997686
(10 Pcs) Self Adhesive Wall Screws Self Adhesive Hanging Nails Adhesive Screws Wall Mount Hooks		266	266	In Stock	hhc-2225775	10-pcs-self-adhesive-wall-screws-self-adhesive-hanging-nails-adhesive-s-6e13549b-hhc-2225775
(12 Pcs)Compressed Facial Sponge Face Cleansing Sponge (random color)		417	417	In Stock	hhc-1997644	12-pcs-compressed-facial-sponge-face-cleansing-sponge-random-color-hhc-1997644
(1Pair) Knee Warmer Woolen Knee Cap For Men And Women (random Design)		597	597	In Stock	hhc-2288854	1pair-knee-warmer-woolen-knee-cap-for-men-and-women-random-design-hhc-2288854
(1pcs) Adhesive Screw Sticker Hook Heavy Duty Stick on Door Nail Free Screw Non-Trace No Drilling Nail Self Waterproof Adhesive Hanging Nails Hooks Holders Multifunctional Use		136	136	In Stock	hhc-1723579	1pcs-adhesive-screw-sticker-hook-heavy-duty-stick-on-door-nail-free-scr-f1fcf857-hhc-1723579
(1pcs) Wire Dishwashing Gloves | Dishwashing Rags For Wet And Dry Non-scratch Wire Dish Cloths For Washing Dishes, Kitchen (random color)		207	207	In Stock	hhc-2575701	1pcs-wire-dishwashing-gloves-dishwashing-rags-for-wet-and-dry-non-scrat-9120b0aa-hhc-2575701
(1piece )3d Wall Stickers Faux Brick White Brick | Bedroom Home Decor Waterproof Self Adhesive Living Room Wallpaper		447	447	In Stock	hhc-2645169	1piece-3d-wall-stickers-faux-brick-white-brick-bedroom-home-decor-water-84801d64-hhc-2645169
(2 in 1) 36H Eyeliner &amp; Mascara Deal		460	460	In Stock	hhc-1992526	2-in-1-36h-eyeliner-amp-mascara-deal-hhc-1992526
(2 in 1) 36H Eyeliner &amp; Mascara Deal		404	404	In Stock	hhc-1932911	2-in-1-36h-eyeliner-amp-mascara-deal-hhc-1932911
(2inch x 8 Yard) Super Sticky Aluminum Foil Tape Self Adhesive Waterproof for Roof Pipe Repair Tape		278	278	In Stock	hhc-1888201	2inch-x-8-yard-super-sticky-aluminum-foil-tape-self-adhesive-waterproof-86698700-hhc-1888201
(2pcs) New Mini Driving Fog Light for All Motorcycle, Cars, Jeep(2pcs) Dual Function White-Yellow Lens Projectors Auxiliary Light 20w free button		852	852	In Stock	hhc-1118843	2pcs-new-mini-driving-fog-light-for-all-motorcycle-cars-jeep-2pcs-dual-3d9e10c1-hhc-1118843
(2pcs)New wheel sensor light motion light sensor led valve light  for bicycle/ bike/car for all vehicle nozzle lamp stick		418	418	In Stock	hhc-1781272	2pcs-new-wheel-sensor-light-motion-light-sensor-led-valve-light-for-bic-a37f3d9f-hhc-1781272
(3 pcs set ) 3D Wooden wall Tasbeeh-e-Fatima calligraphy / Wooden Wall Decoration For Home I Decoration		517	517	In Stock	hhc-2594592	3-pcs-set-3d-wooden-wall-tasbeeh-e-fatima-calligraphy-wooden-wall-decor-de34a506-hhc-2594592
(3 pcs set ) Hexagon Shape 3D Wooden Wall Shelf | Wall Shelves for Home Decor Living Room /  for Kids Room and Girls Room and for Gift Items		488	488	In Stock	hhc-2599593	3-pcs-set-hexagon-shape-3d-wooden-wall-shelf-wall-shelves-for-home-deco-c6ae78b3-hhc-2599593
(3 pcs set )3D floral abstract Wooden Wall Art &amp; Home Decoration /  Item Home Décor Home Room &amp; Wall Decor Wall Art		474	474	In Stock	hhc-2594627	3-pcs-set-3d-floral-abstract-wooden-wall-art-amp-home-decoration-item-h-ddb37d70-hhc-2594627
(3pcs set)  3D Wooden wall calligraphy kun faya kun  Wall Art Decorations for Home, Living Rooms, Bedrooms, and Offices Perfect for Gifting		517	517	In Stock	hhc-2599619	3pcs-set-3d-wooden-wall-calligraphy-kun-faya-kun-wall-art-decorations-f-0a4ec7b3-hhc-2599619
(3pcs set) Islamic Wall Art 3D Wooden wall Tasbeeh-e-Fatima calligraphy / SubhanAllah, Alhamdulillah, Allahu Akbar		501	501	In Stock	hhc-2594705	3pcs-set-islamic-wall-art-3d-wooden-wall-tasbeeh-e-fatima-calligraphy-s-4ed228a9-hhc-2594705
(4pcs)New wheel sensor light motion light sensor led valve light  for bicycle/ bike/car for all vehicle nozzle lamp stick		740	740	In Stock	hhc-1781315	4pcs-new-wheel-sensor-light-motion-light-sensor-led-valve-light-for-bic-90f66db9-hhc-1781315
(5 in 1) Heavy Furniture Moving Tool Transport Lifter Shifter Moving Kit Slider Remover Rolling Wheel Corner Mover Set		1442	1442	In Stock	hhc-744983	5-in-1-heavy-furniture-moving-tool-transport-lifter-shifter-moving-kit-99c972d8-hhc-744983
(6 Pcs ) Julystar Matte Lipstick Set		740	740	In Stock	hhc-2043770	6-pcs-julystar-matte-lipstick-set-hhc-2043770
(8 in 1 ) Makeup Brush Set &amp; Blender Deal		517	517	In Stock	hhc-1932965	8-in-1-makeup-brush-set-amp-blender-deal-hhc-1932965
(A size Dubai imported )Stroke Line dot to dot Magical Tracing Workbook For Kids | Student Learning Book (64 pages stage 1 )		2558	2558	In Stock	hhc-1575843	a-size-dubai-imported-stroke-line-dot-to-dot-magical-tracing-workbook-f-d004cb0d-hhc-1575843
(Big Size) - Men Buffalo leather belt grey color | Waist Belt for boys &amp; Mens (Grey)		1442	1442	In Stock	hhc-2083082	big-size-men-buffalo-leather-belt-grey-color-waist-belt-for-boys-amp-mens-grey-hhc-2083082
(Big Size) - Men buffalo leather belt | Waist Belt for boys &amp; Mens (Black)		1442	1442	In Stock	hhc-2083111	big-size-men-buffalo-leather-belt-waist-belt-for-boys-amp-mens-black-hhc-2083111
(Big Size) - Men Buffalo plain leather belt | Waist Belt for boys &amp; Mens (Dark Brown)		1442	1442	In Stock	hhc-2083060	big-size-men-buffalo-plain-leather-belt-waist-belt-for-boys-amp-mens-dark-brown-hhc-2083060
(Big Size) - Men Buffalo pull-up leather | Waist Belt for boys &amp; Mens (Maroon)		1603	1603	In Stock	hhc-2083103	big-size-men-buffalo-pull-up-leather-waist-belt-for-boys-amp-mens-maroon-hhc-2083103
(Big Size) 3in1 Peeler Knife Stainless Steel | Multifunctional Fruit & Vegetable Peeler With Wooden Handle | Kitchen Vegetable Cutter Slicer Tool & Bottle Opener		414	414	In Stock	hhc-3765437	big-size-3in1-peeler-knife-stainless-steel-multifunctional-fruit-vegeta-0a90f72a-hhc-3765437
(buy one get 1 free) 3D Wooden calligraphy Loh-e-qurani + Round Aytul kursi+ Fabi		950	950	In Stock	hhc-2767398	buy-one-get-1-free-3d-wooden-calligraphy-loh-e-qurani-round-aytul-kursi-fabi-hhc-2767398
(buy one get 2 free)  3D Wooden calligraphy Aytul kursi + Round Aytul kursi+ Fabi  Calligraphy Decor		1359	1359	In Stock	hhc-2767420	buy-one-get-2-free-3d-wooden-calligraphy-aytul-kursi-round-aytul-kursi-274186e4-hhc-2767420
(Combo deal  1 Black x 1 White ) Anti Lost Silicone Earphone Rope Holder Cable For AirPods Strap Wireless Bluetooth Headphone Neck Strap Cord String 55CM		306	306	In Stock	hhc-2071314	combo-deal-1-black-x-1-white-anti-lost-silicone-earphone-rope-holder-ca-5303df21-hhc-2071314
(combo deal) Nur bhukhoor  2 fragrance/ Batool / Ruqiyah (25gm)		1341	1341	In Stock	hhc-2506137	combo-deal-nur-bhukhoor-2-fragrance-batool-ruqiyah-25gm-hhc-2506137
(Combo Pack - Hight Quality) Moisturizing Glove and Socks Set, Silicone Gel Spa  Socks For Dry Cracked Skin &amp; Silicone Jelly Socks Gel Moisturizing Socks Foot Care Protector		1008	1008	In Stock	hhc-2492757	combo-pack-hight-quality-moisturizing-glove-and-socks-set-silicone-gel-45078620-hhc-2492757
(Combo Pack) Moisturizing Glove and Socks Set, Silicone Gel Spa  Socks For Dry Cracked Skin &amp; Silicone Jelly Socks Gel Moisturizing Socks Foot Care Protector		1064	1064	In Stock	hhc-2483871	combo-pack-moisturizing-glove-and-socks-set-silicone-gel-spa-socks-for-25e993dc-hhc-2483871
(Deal pack of 2) Teeth Brightening Hismiles V34 Colour Corrector Serum + Micro Nano Tooth Brush For Sensitive Gums Toothbrush		354	354	In Stock	hhc-2613349	deal-pack-of-2-teeth-brightening-hismiles-v34-colour-corrector-serum-mi-68297ba4-hhc-2613349
